sep=,
Filename,Version,FileVersion,InfoVersion
AjaxMin.dll,5.14.5506.26196,5.14.5506.26196,5.14.5506.26196
LinqToTwitter.AspNet.dll,3.2.0,3.2.0.0,3.2.0
LinqToTwitter.net.dll,4.0.0.0,4.0.0.0,4.0.0.0
Scriban.dll,2.0.1.0,2.0.1.0,2.0.1+42138f117c4194715eae3369dff914dbc8c3b068
Sitecore.LayoutService.Analytics.dll,6.0.0.0,6.0.0.0,6.0.0-r00143.533
Sitecore.LayoutService.dll,6.0.0.0,6.0.0.0,6.0.0-r00143.533
Sitecore.LayoutService.Mvc.dll,6.0.0.0,6.0.0.0,6.0.0-r00143.533
Sitecore.XA.Feature.Accessibility.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.Analytics.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.Compliancy.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.Composites.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.ContentTagging.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.ContentTokens.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.Context.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.CreativeExchange.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.DeviceResolver.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.Engagement.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.ErrorHandling.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.Events.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.Forms.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.GenericMetaRendering.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
Sitecore.XA.Feature.Json.dll,7.0.0.0,7.0.0.0,7.0.0-r03138
